Id,SalePrice
1461,116863.11758484629
1462,146939.552055991
1463,173155.83940668995
1464,189811.2891484939
1465,186498.14638709126
1466,170115.1824697402
1467,174771.98048685127
1468,167534.63282057646
1469,180722.91963612326
1470,120056.58961627421
1471,186876.18827941446
1472,100618.86586871008
1473,96815.22589286933
1474,155077.12302028938
1475,125277.44007331465
1476,383810.7859903316
1477,245958.4341267777
1478,283531.4835059396
1479,279652.3297295083
1480,466681.42510012566
1481,307686.57104861364
1482,201193.1190271613
1483,167044.79476222955
1484,166652.27567143584
1485,182603.59841863546
1486,192970.14265097867
1487,319338.20628950803
1488,240848.85528560178
1489,189541.555711375
1490,223002.85309857852
1491,189695.201100849
1492,91374.23102332604
1493,183865.3424586791
1494,287377.62151601305
1495,287947.4680530723
1496,242678.65620706065
1497,179634.1702653196
1498,167290.6426239834
1499,166537.8476951487
1500,157041.04187351503
1501,174751.76287348827
1502,153571.34702170736
1503,285542.3785915807
1504,238243.4968230029
1505,222740.87667504765
1506,182585.01764370382
1507,236440.3275601285
1508,187750.29431441124
1509,162050.82334207065
1510,141093.71102378154
1511,146340.0742550576
1512,166876.17444545528
1513,139070.3032641639
1514,151560.53873016988
1515,186683.16825581246
1516,158155.10918964626
1517,153003.3853153235
1518,136268.30826815314
1519,225410.83383102555
1520,126152.56831446291
1521,125381.77228103757
1522,168671.20683091294
1523,105421.8312869515
1524,111908.95420014304
1525,117713.95789183788
1526,112569.86516208008
1527,99997.51319934306
1528,129980.15215082956
1529,141593.94987691694
1530,172078.05776186276
1531,116144.06291791644
1532,98453.89537749276
1533,138722.78081690698
1534,123760.76311101818
1535,143967.19835558833
1536,108725.10958815092
1537,71196.63354904561
1538,166434.15803662728
1539,201060.7343906551
1540,98314.3346445432
1541,149344.97345451213
1542,138123.37843398473
1543,203208.32347097073
1544,83078.5170136858
1545,114343.47744853921
1546,132459.93005101336
1547,132589.16032723934
1548,131265.13386164975
1549,111245.58560525354
1550,140967.37265945147
1551,116300.15495495773
1552,134776.9924191068
1553,152400.1735017413
1554,121566.70886996639
1555,157166.7695377811
1556,91460.96031280207
1557,100451.01583179948
1558,94570.03485984226
1559,91955.88854618279
1560,136720.51568420854
1561,135721.21197873258
1562,122835.0277085239
1563,114050.00597153185
1564,147614.53865220398
1565,145088.04951950433
1566,240556.48920254642
1567,84106.87080553338
1568,233737.55552152733
1569,134536.22380921213
1570,135897.67664332045
1571,122098.97558069848
1572,136569.69255090042
1573,238477.48258243548
1574,114749.28903105615
1575,235116.8806899019
